,date,type,registration,operator,fat.,location,Unnamed: 6,pic,cat,url
75,18-MAY-2011,Saab 340A,LV-CEJ,SOL Líneas Aéreas,22,"near Prahuaniyeu, RN",,,A1,https://aviation-safety.net/database/record.php?id=20110518-0
76,18-MAY-2011,Boeing 707-321B,N707AR,Omega Air Refueling,0,Port Hueneme...,,,A1,https://aviation-safety.net/database/record.php?id=20110518-1
77,23-MAY-2011,Cessna 208B Grand Caravan,PT-OSG,MEGA Linhas Aéreas,0,Barra do Ven...,,,A1,https://aviation-safety.net/database/record.php?id=20110523-0
78,25-MAY-2011,Embraer Phenom 100,N224MD,JetSuite,0,Sedona Airpo...,,,A1,https://aviation-safety.net/database/record.php?id=20110525-0
79,28-MAY-2011,DHC-3T Vazar Turbine Otter,N87AW,Alaska West Air,0,near Bettles Fiel...,,,A2,https://aviation-safety.net/database/record.php?id=20110528-0
80,01-JUN-2011,Eclipse 500,N168TT,Private,0,Nome Airport...,,,A1,https://aviation-safety.net/database/record.php?id=20110601-0
81,06-JUN-2011,Antonov An-26,TR-LII,"DHL Aviation, opb Solenta Aviation",0,near Libreville A...,,,A1,https://aviation-safety.net/database/record.php?id=20110606-0
82,08-JUN-2011,CASA CN-235M-200,AN-204,Ecuador Navy,0,Manta Airpor...,,,A2,https://aviation-safety.net/database/record.php?id=20110608-0
83,08-JUN-2011,BN-2B-26 Islander,D-IOLO,OLT,0,Helgoland Ai...,,,A2,https://aviation-safety.net/database/record.php?id=20110608-1
84,09-JUN-2011,Cessna 208 Caravan I,C-GUYR,Air Labrador,0,Postville Ai...,,,A2,https://aviation-safety.net/database/record.php?id=20110609-0
85,12-JUN-2011,Douglas DC-6BF,N600UA,Universal Airlines,0,Cold Bay Air...,,,A1,https://aviation-safety.net/database/record.php?id=20110612-0
86,15-JUN-2011,Beech A100 King Air,N15L,Dynamic Avlease,0,"near Gray, TN",,,A1,https://aviation-safety.net/database/record.php?id=20110615-0
87,15-JUN-2011,Cessna 525A CitationJet CJ2,N129SG,Deer Horn Aviation,0,Nashville-Jo...,,,A2,https://aviation-safety.net/database/record.php?id=20110615-1
88,17-JUN-2011,Antonov An-2T,RF-00447,DOSAAF,0,Vladikavkaz ...,,,O1,https://aviation-safety.net/database/record.php?id=20110617-0
89,17-JUN-2011,Dassault Falcon 10,C-GRIS,Skycharter,0,Toronto-Butt...,,,A1,https://aviation-safety.net/database/record.php?id=20110617-1
90,20-JUN-2011,Tupolev Tu-134A-3,RA-65691,"RusAir, op.for RusLine",47,near Petrozavodsk...,,,A1,https://aviation-safety.net/database/record.php?id=20110620-0
91,24-JUN-2011,Antonov An-2R,RA-40420,Avialesookhrana,0,"near Beregovoy, A...",,,A2,https://aviation-safety.net/database/record.php?id=20110624-0
92,04-JUL-2011,Cessna 208B Grand Caravan,C-FMCB,Missinippi Airways,1,Pukatawagan ...,,,A1,https://aviation-safety.net/database/record.php?id=20110704-0
93,06-JUL-2011,Ilyushin Il-76TD,4K-AZ55,Silk Way,9,near Bagram Air B...,,,A1,https://aviation-safety.net/database/record.php?id=20110706-0
94,08-JUL-2011,Boeing 727-22 (WL),9Q-COP,Hewa Bora Airways,77,Kisangani-Ba...,,,A1,https://aviation-safety.net/database/record.php?id=20110708-0
95,09-JUL-2011,Antonov An-2TP,SP-AOW,Aeroklub Kielecki,0,Kielce-Masló...,,,A2,https://aviation-safety.net/database/record.php?id=20110709-0
96,10-JUL-2011,BAe-125-700B,5N-BEX,Associated Aviation,0,Benin City A...,,,A2,https://aviation-safety.net/database/record.php?id=20110710-0
97,11-JUL-2011,Antonov An-24RV,RA-47302,Angara Airlines,7,near Strezhevoy,,,A1,https://aviation-safety.net/database/record.php?id=20110711-0
98,11-JUL-2011,DHC-6 Twin Otter 310,8Q-TMD,Trans Maldivian Airways,0,Biyaadhoo Tr...,,,A1,https://aviation-safety.net/database/record.php?id=20110711-1
99,12-JUL-2011,Learjet 35,N110UN,Robinson Air Crane,0,Opa-locka Ex...,,,A2,https://aviation-safety.net/database/record.php?id=20110712-0
100,13-JUL-2011,Let L-410UVP-E20,PR-NOB,NOAR Linhas Aéreas,16,near Recife-Guara...,,,A1,https://aviation-safety.net/database/record.php?id=20110713-0
101,14-JUL-2011,ATR 72-202,SP-LFH,Eurolot,0,Warszawa-Fré...,,,O1,https://aviation-safety.net/database/record.php?id=20110714-0
